ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
V2HT3,CONTAINER,OOCL HONG KONG BRANCH,KAOHSIUNG,2025-04-25 02:17:00,2025-04-25 01:00:00,1.2833333333333334,15.633333333333333,1.1969004482942087,1.583333333333333,22.98,21.7,23.28,15.63
E6CF3,CONTAINER,PENAVICO (HONG KONG) LIMITED,"NANSHAN, SHENZHEN",2025-04-24 05:59:00,2025-04-25 01:00:00,-19.016666666666666,9.233333333333333,2.126190476190476,0.21666666666666656,2.68,21.7,21.92,9.23
C6YY8,CONTAINER,SINOTRANS (HK) SHIPPING LTD,OPEN SEA,2025-04-24 03:18:00,2025-04-25 01:00:00,-21.7,4.083333333333333,17.628913738019172,0.0,0.0,21.7,21.7,4.08
5LFU8,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-04-25 02:16:00,2025-04-25 02:00:00,0.2666666666666666,8.733333333333333,1.1969004482942087,1.2666666666666666,22.97,22.7,23.97,8.73
V7A5455,CONTAINER,SINOKOR HONGKONG CO LIMITED,"SHEKOU, SHENZHEN",2025-04-25 06:15:00,2025-04-25 04:30:00,1.75,10.633333333333333,3.070498537536336,1.551369653013765,26.95,25.2,26.75,10.63
OUWO2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,YANGSHAN,2025-04-25 06:51:00,2025-04-25 05:30:00,1.35,21.1,2.2942528735632184,2.3666666666666667,27.55,26.2,28.57,21.1
VRLZ3,CONTAINER,OOCL HONG KONG BRANCH,"NINGBO, ZJ",2025-04-25 08:32:00,2025-04-25 06:30:00,2.033333333333333,32.416666666666664,1.1909206797826886,0.9732647229099683,29.23,27.2,28.17,32.42
3E6838,CONTAINER,BEN LINE AGENCIES (HK) LTD,"NANSHA, PANYU",2025-04-25 08:07:00,2025-04-25 07:00:00,1.1166666666666667,17.616666666666667,1.2326541661091042,0.420904255319149,28.82,27.7,28.12,17.62
VRVD6,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"XIAMEN, FJ",2025-04-25 09:46:00,2025-04-25 08:30:00,1.2666666666666666,4.633333333333334,1.1614598080855747,1.2666666666666666,30.47,29.2,30.47,4.63
5LHO2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,LAEM CHABANG,2025-04-25 13:32:00,2025-04-25 10:00:00,3.533333333333333,7.866666666666666,1.589808153477218,0.8,34.23,30.7,31.5,7.87
5LII5,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"SHEKOU, SHENZHEN",2025-04-25 12:27:00,2025-04-25 10:30:00,1.95,6.1,3.070498537536336,1.85,33.15,31.2,33.05,6.1
9V7590,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-04-25 10:19:00,2025-04-25 11:00:00,-0.6833333333333333,15.633333333333333,1.1969004482942087,1.4333333333333331,31.02,31.7,33.13,15.63
