ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
DSRD9,CONTAINER,KMTC (HK) CO LIMITED,SAIGON,2025-02-28 02:27:00,2025-02-28 01:00:00,1.45,17.05,1.797777777777778,2.6,13.68,12.23,14.83,17.05
3FZF9,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KAOHSIUNG,2025-02-28 04:37:00,2025-02-28 04:00:00,0.6166666666666667,8.783333333333333,1.3568963468218915,1.1333333333333333,15.85,15.23,16.36,8.78
V7A2845,CONTAINER,NAMSUNG SHIPPING HONG KONG LIMITED,INCHEON,2025-02-28 07:39:00,2025-02-28 05:00:00,2.65,10.766666666666667,2.0865309200603317,1.05,18.88,16.23,17.28,10.77
9V7590,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-02-28 07:09:00,2025-02-28 06:00:00,1.15,14.383333333333333,1.3568963468218915,1.174128499367553,18.38,17.23,18.4,14.38
V2HR3,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"SHEKOU, SHENZHEN",2025-02-28 08:25:00,2025-02-28 06:30:00,1.9166666666666667,10.116666666666667,3.5725166022488084,1.7333333333333334,19.65,17.73,19.46,10.12
D7UY,CONTAINER,SINOTRANS (HK) SHIPPING LTD,INCHEON,2025-02-28 08:03:00,2025-02-28 07:00:00,1.05,9.916666666666666,2.0865309200603317,1.4833333333333334,19.28,18.23,19.71,9.92
9HA5658,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KAOHSIUNG,2025-02-28 10:04:00,2025-02-28 08:30:00,1.5666666666666669,9.1,1.3568963468218915,0.8388682180479379,21.3,19.73,20.57,9.1
5LID5,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,SINGAPORE,2025-02-28 09:43:00,2025-02-28 08:30:00,1.2166666666666666,14.75,1.1203169327936864,0.9926736714209721,20.95,19.73,20.72,14.75
VRNQ8,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,"SHANGHAI, SH",2025-02-28 09:53:00,2025-02-28 09:00:00,0.8833333333333333,7.066666666666666,1.2261758691206546,0.9166666666666666,21.12,20.23,21.15,7.07
V7DC5,CONTAINER,T.S. LINES LIMITED,"SHEKOU, SHENZHEN",2025-02-28 13:18:00,2025-02-28 11:30:00,1.8,9.983333333333333,3.5725166022488084,1.3930468273183954,24.53,22.73,24.12,9.98
A8KS9,CONTAINER,YANG MING LINE (HONG KONG) LTD,HO CHI MINH CITY,2025-02-28 13:40:00,2025-02-28 12:00:00,1.6666666666666667,10.35,1.5457364341085276,1.7666666666666666,24.9,23.23,25.0,10.35
VRMK9,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHEKOU, SHENZHEN",2025-02-27 12:46:00,2025-02-28 12:30:00,-23.733333333333334,7.233333333333333,3.5725166022488084,0.5287092865462562,0.0,23.73,24.26,7.23
VRID6,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,YANGSHAN,2025-02-28 14:08:00,2025-02-28 13:00:00,1.1333333333333333,8.4,1.892948717948718,0.1333333333333333,25.37,24.23,24.36,8.4
CQ2077,CONTAINER,HAPAG-LLOYD (CHINA) LTD,SINGAPORE,2025-02-28 19:11:00,2025-02-28 17:30:00,1.6833333333333331,16.566666666666666,1.1203169327936864,1.70538516583009,30.42,28.73,30.44,16.57
V3NV,CONTAINER,SK SHIPPING LIMITED,"TAICANG,CN",2025-02-28 20:01:00,2025-02-28 19:00:00,1.0166666666666666,5.7,0.0,1.15,31.25,30.23,31.38,5.7
BLHP,CONTAINER,YANG MING LINE (HONG KONG) LTD,KAOHSIUNG,2025-02-28 20:02:00,2025-02-28 19:00:00,1.0333333333333334,9.116666666666667,1.3568963468218915,1.55,31.27,30.23,31.78,9.12
3E7666,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,DAVAO,2025-02-28 20:25:00,2025-02-28 20:00:00,0.4166666666666667,15.983333333333333,1.9488408233265542,1.6840245982583713,31.65,31.23,32.91,15.98
9WTX5,CONTAINER,HARBOUR-LINK LINES LIMITED ,KUCHING,2025-02-28 21:07:00,2025-02-28 21:00:00,0.1166666666666666,8.883333333333333,1.3208333333333335,4.966666666666667,32.35,32.23,37.2,8.88
D5YE8,CONTAINER,KMTC (HK) CO LIMITED,SURABAYA,2025-02-28 21:47:00,2025-02-28 22:30:00,-0.7166666666666667,17.516666666666666,1.489922480620155,1.2,33.02,33.73,34.93,17.52
V7A6216,CONTAINER,T.S. LINES LIMITED,"NANSHA, PANYU",2025-03-01 00:19:00,2025-02-28 23:00:00,1.3166666666666669,14.616666666666667,1.4076601998824223,1.0333333333333334,35.55,34.23,35.26,14.62
5LFC8,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"YANTIAN, SHENZHEN",2025-02-28 14:13:00,2025-02-28 23:00:00,-8.783333333333333,8.9,1.104686166816224,0.23226401380972878,25.45,34.23,34.46,8.9
OYLZ2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,HAIPHONG,2025-03-01 00:29:00,2025-02-28 23:30:00,0.9833333333333332,13.833333333333334,1.4647492625368734,1.0,35.72,34.73,35.73,13.83
5LHG7,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"NANSHA, PANYU",2025-03-01 01:57:00,2025-02-28 23:30:00,2.45,15.733333333333333,1.4076601998824223,1.1314814814814815,37.18,34.73,35.86,15.73
