ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
9HA3340,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"XIAMEN, FJ",2025-01-05 01:32:00,2025-01-05 00:00:00,1.5333333333333334,12.3,1.3666734732344814,0.43695652173913047,6.13,4.6,5.04,12.3
V7A5825,CONTAINER,T.S. LINES LIMITED,KAOHSIUNG,2025-01-05 03:47:00,2025-01-05 01:00:00,2.783333333333333,22.633333333333333,1.59449664200835,2.1101092896174864,8.38,5.6,7.71,22.63
V7A7461,CONTAINER,T.S. LINES LIMITED,KAOHSIUNG,2025-01-05 02:07:00,2025-01-05 01:00:00,1.1166666666666667,10.3,1.59449664200835,1.8166666666666669,6.72,5.6,7.42,10.3
9V3760,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-01-05 07:34:00,2025-01-05 02:00:00,5.566666666666666,10.35,1.59449664200835,2.3260928961748637,12.17,6.6,8.93,10.35
2BOK5,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"XIAMEN, FJ",2025-01-05 03:47:00,2025-01-05 02:30:00,1.2833333333333334,16.166666666666668,1.3666734732344814,1.6471014492753622,8.38,7.1,8.75,16.17
9V6498,CONTAINER,HYALINE SHIPPING (HK) CO LTD,SINGAPORE,2025-01-05 06:07:00,2025-01-05 05:00:00,1.1166666666666667,14.6,1.2837974615670904,1.2833333333333334,10.72,9.6,10.88,14.6
V7A2844,CONTAINER,NAMSUNG SHIPPING HONG KONG LIMITED,INCHEON,2025-01-05 07:43:00,2025-01-05 05:00:00,2.716666666666667,7.683333333333334,1.7572017737387422,2.066666666666667,12.32,9.6,11.67,7.68
OZGI2,CONTAINER,PENAVICO (HONG KONG) LIMITED,SINGAPORE,2025-01-05 06:26:00,2025-01-05 05:00:00,1.4333333333333331,11.566666666666666,1.2837974615670904,2.4004716981132073,11.03,9.6,12.0,11.57
5LCM3,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KAOHSIUNG,2025-01-05 08:35:00,2025-01-05 07:30:00,1.0833333333333333,29.15,1.59449664200835,1.3166666666666669,13.18,12.1,13.42,29.15
VRUN9,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"SHEKOU, SHENZHEN",2025-01-05 12:24:00,2025-01-05 10:30:00,1.9,8.666666666666666,5.240240592730147,1.7191547628877326,17.0,15.1,16.82,8.67
3ECW9,CONTAINER,KMTC (HK) CO LIMITED,PASIR GUDANG,2025-01-05 14:23:00,2025-01-05 12:00:00,2.3833333333333333,26.116666666666667,1.1114004629629635,1.2000000000000002,18.98,16.6,17.8,26.12
3ELX9,CONTAINER,KMTC (HK) CO LIMITED,HO CHI MINH CITY,2025-01-05 13:04:00,2025-01-05 12:00:00,1.0666666666666669,17.9,1.3477855477855487,1.2833333333333334,17.67,16.6,17.88,17.9
9V6003,CONTAINER,SINOTRANS (HK) SHIPPING LTD,OPEN SEA,2025-01-04 19:24:00,2025-01-05 12:00:00,-16.6,9.516666666666667,16.873123909249575,0.0,0.0,16.6,16.6,9.52
9V6500,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-01-05 17:25:00,2025-01-05 13:00:00,4.416666666666667,14.133333333333333,1.59449664200835,1.4333333333333331,22.02,17.6,19.03,14.13
5LLT4,CONTAINER,PENAVICO (HONG KONG) LIMITED,TANJUNG PELEPAS,2025-01-05 14:58:00,2025-01-05 13:30:00,1.4666666666666666,25.666666666666668,1.5856278538812794,2.05,19.57,18.1,20.15,25.67
9WUY7,CONTAINER,HARBOUR-LINK LINES LIMITED ,MUARA,2025-01-05 20:02:00,2025-01-05 14:30:00,5.533333333333333,26.0,2.0416666666666665,0.0,24.63,19.1,19.1,26.0
V7A6216,CONTAINER,T.S. LINES LIMITED,"SHEKOU, SHENZHEN",2025-01-05 16:25:00,2025-01-05 14:30:00,1.9166666666666667,11.35,5.240240592730147,1.7166666666666663,21.02,19.1,20.82,11.35
V7A7426,CONTAINER,T.S. LINES LIMITED,LAEM CHABANG,2025-01-05 14:55:00,2025-01-05 14:30:00,0.4166666666666667,14.933333333333334,1.7106570512820507,2.7333333333333334,19.52,19.1,21.83,14.93
OYJO2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,HAIPHONG,2025-01-05 19:41:00,2025-01-05 16:30:00,3.183333333333333,7.6,1.5761442786069648,1.4,24.28,21.1,22.5,7.6
9HA4773,CONTAINER,CMA CGM (HONG KONG) LIMITED,"SHEKOU, SHENZHEN",2025-01-05 19:36:00,2025-01-05 17:30:00,2.1,7.35,5.240240592730147,1.149774309856054,24.2,22.1,23.25,7.35
9HA2907,CONTAINER,CMA CGM (HONG KONG) LIMITED,"SHEKOU, SHENZHEN",2025-01-06 01:00:00,2025-01-05 22:30:00,2.5,11.516666666666667,5.240240592730147,1.3566826301158728,29.6,27.1,28.46,11.52
D5IZ9,CONTAINER,OOCL HONG KONG BRANCH,MANILA,2025-01-06 04:29:00,2025-01-05 23:00:00,5.483333333333333,24.266666666666666,1.0400689393939393,2.1781249999999996,33.08,27.6,29.78,24.27
VRWN4,CONTAINER,OOCL HONG KONG BRANCH,HONG KONG,2025-01-05 00:09:00,2025-01-05 23:00:00,-22.85,18.8,17.53369565217392,0.0,4.75,27.6,27.6,18.8
