ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
9WTX5,CONTAINER,HARBOUR-LINK LINES LIMITED ,MUARA,2025-04-23 01:33:00,2025-04-23 01:00:00,0.55,19.433333333333337,1.4523809523809526,1.2,0.55,0.0,1.2,19.43
V3NV,CONTAINER,SK SHIPPING LIMITED,NAKHODKA,2025-04-23 16:59:00,2025-04-23 03:00:00,13.983333333333333,2.816666666666667,1.4833333333333334,0.0,15.98,2.0,2.0,2.82
9VNL9,CONTAINER,REGIONAL CONTAINER LINES (HK) LTD,CAT LAI PORT,2025-04-23 04:37:00,2025-04-23 03:00:00,1.6166666666666667,11.95,1.4318911972585129,0.41781609195402314,3.62,2.0,2.42,11.95
VRQP6,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"SHANGHAI, SH",2025-04-23 07:17:00,2025-04-23 06:00:00,1.2833333333333334,7.166666666666667,1.248096810965225,1.2333333333333334,6.28,5.0,6.23,7.17
3E4723,CONTAINER,SINOKOR HONGKONG CO LIMITED,PENANG ISLAND,2025-04-23 07:32:00,2025-04-23 06:30:00,1.0333333333333334,14.516666666666667,1.2526269232220606,0.9769262037618713,6.53,5.5,6.48,14.52
9V8494,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KEELUNG,2025-04-23 08:15:00,2025-04-23 07:00:00,1.25,11.316666666666666,1.3115048873991473,1.0833333333333333,7.25,6.0,7.08,11.32
3FZM6,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,LAEM CHABANG,2025-04-23 08:38:00,2025-04-23 07:00:00,1.6333333333333333,13.0,1.6204092622509436,1.5166666666666666,7.63,6.0,7.52,13.0
5LFP3,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"OTHER, MOROCCO",2025-04-23 12:09:00,2025-04-23 10:00:00,2.15,29.4,0.18193843590553782,1.6581331362703633,11.15,9.0,10.66,29.4
BLEP,CONTAINER,KANWAY SHIPPING LIMITED,TAICHUNG,2025-04-23 12:20:00,2025-04-23 10:30:00,1.8333333333333333,12.15,1.3753510062064844,1.2833333333333334,11.33,9.5,10.78,12.15
VRFC9,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-04-23 12:45:00,2025-04-23 11:00:00,1.75,9.4,1.4895026841804644,1.3,11.75,10.0,11.3,9.4
D7UN,CONTAINER,KMTC (HK) CO LIMITED,BUSAN,2025-04-23 13:04:00,2025-04-23 12:00:00,1.0666666666666669,12.216666666666669,1.6288278774116092,1.250165248755699,12.07,11.0,12.25,12.22
5LNA8,CONTAINER,CMA CGM ASIA SHIPPING PTE. LTD.,"XIAMEN, FJ",2025-04-23 14:37:00,2025-04-23 12:30:00,2.1166666666666667,11.783333333333331,1.3009023524061123,0.4731292517006803,13.62,11.5,11.97,11.78
D5VC7,CONTAINER,PENAVICO (HONG KONG) LIMITED,HO CHI MINH CITY,2025-04-23 14:44:00,2025-04-23 13:00:00,1.7333333333333334,12.216666666666669,1.3582406735552552,1.3333333333333335,13.73,12.0,13.33,12.22
9V5671,CONTAINER,HYALINE SHIPPING (HK) CO LTD,"CAILAN, VIETNAM",2025-04-23 17:20:00,2025-04-23 16:00:00,1.3333333333333333,8.583333333333334,0.4333333333333333,0.41666666666666674,16.33,15.0,15.42,8.58
5LBR5,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"YANTIAN, SHENZHEN",2025-04-23 18:07:00,2025-04-23 17:00:00,1.1166666666666667,13.85,1.3317582550293514,1.1666666666666667,17.12,16.0,17.17,13.85
5LMC4,CONTAINER,"UNITRANS AGENCY HONG KONG CO., LIMITED",ZHOUSHAN,2025-04-24 03:02:00,2025-04-23 17:00:00,10.033333333333331,6.2,2.55,0.0,26.03,16.0,16.0,6.2
CQEB9,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,OPEN SEA,2025-04-23 04:33:00,2025-04-23 17:00:00,-12.45,7.383333333333334,17.322123287671243,0.0,3.55,16.0,16.0,7.38
9V8125,CONTAINER,REGIONAL CONTAINER LINES (HK) LTD,PORT KLANG,2025-04-23 21:23:00,2025-04-23 20:00:00,1.3833333333333333,10.283333333333331,1.0010593742301064,1.431818181818182,20.38,19.0,20.43,10.28
9V9130,CONTAINER,HYALINE SHIPPING (HK) CO LTD,TOKYO,2025-04-24 00:45:00,2025-04-23 23:00:00,1.75,21.783333333333335,0.961178861788618,1.2333333333333334,23.75,22.0,23.23,21.78
