ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
9V8604,CONTAINER,PENAVICO (HONG KONG) LIMITED,"YANTIAN, GD",2025-02-03 00:53:00,2025-02-03 01:30:00,-0.6166666666666667,16.483333333333334,1.9281134626633065,1.1666666666666667,0.0,0.62,1.79,16.48
9V7866,CONTAINER,HYALINE SHIPPING (HK) CO LTD,"XIAMEN, FJ",2025-02-03 03:57:00,2025-02-03 03:00:00,0.95,23.866666666666667,1.2446190732879645,1.3994845360824744,3.07,2.12,3.52,23.87
5LJF4,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KEELUNG,2025-02-03 07:14:00,2025-02-03 06:00:00,1.2333333333333334,9.1,1.412012609305973,2.6190905785498892,6.35,5.12,7.74,9.1
VRNF6,CONTAINER,OCEANLINKS MARINE LIMITED,"XIAMEN, FJ",2025-02-03 07:31:00,2025-02-03 06:30:00,1.0166666666666666,6.483333333333333,1.2446190732879645,1.15,6.63,5.62,6.77,6.48
VRBK5,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"NINGBO, ZJ",2025-02-03 12:05:00,2025-02-03 07:00:00,5.083333333333333,4.933333333333334,1.0844090873225758,0.9666666666666668,11.2,6.12,7.09,4.93
BQXZ,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHEKOU, SHENZHEN",2025-02-03 09:08:00,2025-02-03 07:30:00,1.6333333333333333,2.9,3.5725166022488084,1.5,8.25,6.62,8.12,2.9
3FRZ3,CONTAINER,OOCL HONG KONG BRANCH,"NINGBO, ZJ",2025-02-03 09:59:00,2025-02-03 09:00:00,0.9833333333333332,5.7,1.0844090873225758,1.4945715699311828,9.1,8.12,9.61,5.7
9V9804,CONTAINER,HAPAG-LLOYD (CHINA) LTD,"YANTIAN, GD",2025-02-03 10:21:00,2025-02-03 09:30:00,0.85,7.383333333333334,1.9281134626633065,1.4115585521692524,9.47,8.62,10.03,7.38
3EUA4,CONTAINER,SITC SHIPPING AGENCY (HK) COMPANY LIMITED,OPEN SEA,2025-02-03 09:52:00,2025-02-03 10:00:00,-0.1333333333333333,2.783333333333333,17.83595679012346,0.0,8.98,9.12,9.12,2.78
2BOW3,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"YANTIAN, SHENZHEN",2025-02-03 12:09:00,2025-02-03 11:00:00,1.15,13.666666666666666,1.104686166816224,1.1609320416817117,11.27,10.12,11.28,13.67
V7A5455,CONTAINER,SINOKOR HONGKONG CO LIMITED,LAEM CHABANG,2025-02-03 22:35:00,2025-02-03 11:00:00,11.583333333333334,13.566666666666666,1.664768781989335,1.5166666666666666,21.7,10.12,11.64,13.57
D5WN3,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"YANTIAN, SHENZHEN",2025-02-03 20:03:00,2025-02-03 18:30:00,1.55,6.316666666666666,1.104686166816224,1.5166666666666666,19.17,17.62,19.14,6.32
3E3603,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"YANTIAN, SHENZHEN",2025-02-03 19:47:00,2025-02-03 18:30:00,1.2833333333333334,22.55,1.104686166816224,0.5172739833514766,18.9,17.62,18.14,22.55
VRZK9,CONTAINER,OOCL HONG KONG BRANCH,"XIAMEN, FJ",2025-02-03 23:53:00,2025-02-03 22:30:00,1.3833333333333333,10.633333333333333,1.2446190732879645,1.741408934707904,23.0,21.62,23.36,10.63
V7A5135,CONTAINER,HAPAG-LLOYD (CHINA) LTD,VALPARAISO,2025-02-04 01:05:00,2025-02-03 23:00:00,2.0833333333333335,28.4,0.3786116656475187,2.566666666666667,24.2,22.12,24.69,28.4
5LCT7,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,MANILA,2025-02-03 23:32:00,2025-02-03 23:30:00,0.0333333333333333,19.4,1.327250750750751,1.45,22.65,22.62,24.07,19.4
