ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
3E4723,CONTAINER,SINOKOR HONGKONG CO LIMITED,PENANG ISLAND,2025-06-21 02:09:00,2025-06-21 01:00:00,1.15,12.366666666666667,1.2827650943029167,1.4833333333333334,2.77,1.62,3.1,12.37
VRNR6,CONTAINER,OOCL HONG KONG BRANCH,"XIAMEN, FJ",2025-06-20 23:23:00,2025-06-21 02:00:00,-2.6166666666666667,9.716666666666669,1.3088454950325463,1.7154761904761902,0.0,2.62,4.34,9.72
BLHP,CONTAINER,YANG MING LINE (HONG KONG) LTD,KAOHSIUNG,2025-06-21 03:38:00,2025-06-21 02:30:00,1.1333333333333333,8.85,1.4515107769240612,1.55,4.25,3.12,4.67,8.85
3E4009,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,DANANG,2025-06-21 06:53:00,2025-06-21 05:30:00,1.3833333333333333,9.033333333333331,1.6916277305933491,1.75,7.5,6.12,7.87,9.03
VROS4,CONTAINER,OCEANLINKS MARINE LIMITED,HAIPHONG,2025-06-21 02:40:00,2025-06-21 06:00:00,-3.3333333333333335,9.716666666666669,1.5031981279251172,1.0,3.28,6.62,7.62,9.72
5LKM2,CONTAINER,BEN LINE AGENCIES (HK) LTD,"SHANGHAI, SH",2025-06-21 08:22:00,2025-06-21 06:00:00,2.3666666666666667,7.5,1.2005502440651767,1.2166666666666668,8.98,6.62,7.84,7.5
9V9130,CONTAINER,HYALINE SHIPPING (HK) CO LTD,TOKYO,2025-06-21 10:17:00,2025-06-21 09:00:00,1.2833333333333334,12.633333333333333,0.9264550264550261,1.3833333333333333,10.9,9.62,11.0,12.63
3E3603,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,OPEN SEA,2025-06-20 23:50:00,2025-06-21 14:00:00,-14.166666666666666,8.75,17.295629939562996,0.0,0.45,14.62,14.62,8.75
V7DC5,CONTAINER,T.S. LINES LIMITED,"QINZHOU, GX",2025-06-21 16:06:00,2025-06-21 15:00:00,1.1,7.866666666666666,1.1252269779507136,1.2,16.72,15.62,16.82,7.87
9V7808,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"SHEKOU, SHENZHEN",2025-06-21 18:14:00,2025-06-21 15:30:00,2.7333333333333334,4.683333333333334,4.807803337794475,0.8019238708612004,18.85,16.12,16.92,4.68
BKLN,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KAOHSIUNG,2025-06-21 16:42:00,2025-06-21 15:30:00,1.2,20.683333333333337,1.4515107769240612,1.2666666666666666,17.32,16.12,17.39,20.68
5LAF3,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"YANTIAN, GD",2025-06-21 18:49:00,2025-06-21 17:00:00,1.8166666666666669,16.283333333333335,1.7954752518026322,0.8287538781350905,19.43,17.62,18.45,16.28
5LFU8,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-06-21 21:44:00,2025-06-21 20:30:00,1.2333333333333334,9.233333333333333,1.4515107769240612,1.6666666666666667,22.35,21.12,22.79,9.23
