ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,ATA,ETA,s
D7UY,CONTAINER,SINOTRANS (HK) SHIPPING LTD,INCHEON,2025-03-05 02:47:00,2025-03-05 01:00:00,1.7833333333333334,4.516666666666667,1.4972222222222216,1.78,0.0,4.52
2EDZ5,CONTAINER,CMA CGM (HONG KONG) LIMITED,"SHEKOU, SHENZHEN",2025-03-05 08:00:00,2025-03-05 04:30:00,3.5,17.8,0.3222222222222222,7.0,3.5,17.8
9V7800,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,DANANG,2025-03-05 09:26:00,2025-03-05 05:00:00,4.433333333333334,14.083333333333334,2.166666666666667,8.43,4.0,14.08
VRCH5,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,BALBOA,2025-03-05 07:37:00,2025-03-05 06:30:00,1.1166666666666667,18.916666666666668,0.1636363636363636,6.62,5.5,18.92
VROD3,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,VALPARAISO,2025-03-05 14:16:00,2025-03-05 13:00:00,1.2666666666666666,30.466666666666665,1.1312499999999999,13.27,12.0,30.47
9VFF8,CONTAINER,PACIFIC INTERNATIONAL LINES (HK) LTD,NAN SHA,2025-03-05 16:10:00,2025-03-05 15:30:00,0.6666666666666666,14.9,0.8999999999999998,15.17,14.5,14.9
9V7593,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"SHANGHAI, SH",2025-03-05 17:38:00,2025-03-05 16:30:00,1.1333333333333333,19.2,0.7166666666666667,16.63,15.5,19.2
3EZM8,CONTAINER,PENAVICO (HONG KONG) LIMITED,DANANG,2025-03-05 22:17:00,2025-03-05 21:00:00,1.2833333333333334,10.966666666666669,6.025000000000001,21.28,20.0,10.97
D7GW,CONTAINER,HMM (HONG KONG) LIMITED,SINGAPORE,2025-03-05 22:42:00,2025-03-05 22:00:00,0.7,9.333333333333334,1.1583333333333334,21.7,21.0,9.33
D5IR9,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"YANTIAN, SHENZHEN",2025-03-06 01:30:00,2025-03-05 23:00:00,2.5,10.55,1.5285714285714287,24.5,22.0,10.55
