ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
9V6492,CONTAINER,HYALINE SHIPPING (HK) CO LTD,KAOHSIUNG,2025-01-15 01:35:00,2025-01-15 01:00:00,0.5833333333333334,20.95,1.4210100117785627,1.25,17.33,16.75,18.0,20.95
OYCY2,CONTAINER,PENAVICO (HONG KONG) LIMITED,"XIAMEN, FJ",2025-01-15 03:56:00,2025-01-15 02:30:00,1.4333333333333331,11.783333333333331,1.288969844161101,1.1935185185185184,19.68,18.25,19.44,11.78
BLEP,CONTAINER,KANWAY SHIPPING LIMITED,TAICHUNG,2025-01-15 04:16:00,2025-01-15 03:00:00,1.2666666666666666,11.35,1.0640449438202244,1.3166666666666669,20.02,18.75,20.07,11.35
A8CF3,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,OPEN SEA,2025-01-14 08:36:00,2025-01-15 03:00:00,-18.4,13.416666666666666,17.760688956433647,0.0,0.35,18.75,18.75,13.42
VRMK9,CONTAINER,SINOTRANS (HK) SHIPPING LTD,OPEN SEA,2025-01-14 08:15:00,2025-01-15 03:00:00,-18.75,3.716666666666667,17.760688956433647,0.0,0.0,18.75,18.75,3.72
9HA5844,CONTAINER,CMA CGM (HONG KONG) LIMITED,SINGAPORE,2025-01-15 05:19:00,2025-01-15 04:00:00,1.3166666666666669,22.366666666666667,1.1031479741019203,1.368125,21.07,19.75,21.12,22.37
D7ID,CONTAINER,SINOKOR HONGKONG CO LIMITED,HAIPHONG,2025-01-15 08:25:00,2025-01-15 05:00:00,3.4166666666666665,14.1,1.440040040040041,2.4,24.17,20.75,23.15,14.1
OYLZ2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,"YANTIAN, SHENZHEN",2025-01-15 08:05:00,2025-01-15 06:30:00,1.5833333333333333,7.466666666666667,1.0358228181164737,1.1531413187249113,23.83,22.25,23.4,7.47
3EUL8,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KUANTAN,2025-01-15 07:45:00,2025-01-15 06:30:00,1.25,9.966666666666669,0.9888648504273503,1.340854700854701,23.5,22.25,23.59,9.97
9HA4039,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"XIAMEN, FJ",2025-01-15 07:49:00,2025-01-15 07:00:00,0.8166666666666667,8.183333333333334,1.288969844161101,0.8256172839506173,23.57,22.75,23.58,8.18
5LPX9,CONTAINER,HMM (HONG KONG) LIMITED,KAOHSIUNG,2025-01-15 14:57:00,2025-01-15 08:00:00,6.95,22.6,1.4210100117785627,2.4105392156862746,30.7,23.75,26.16,22.6
S6AS8,CONTAINER,HYALINE SHIPPING (HK) CO LTD,"NANSHA, PANYU",2025-01-15 09:07:00,2025-01-15 08:00:00,1.1166666666666667,17.866666666666667,1.3860493769784283,1.2455282279566902,24.87,23.75,25.0,17.87
5LKT9,CONTAINER,HAPAG-LLOYD (CHINA) LTD,SINGAPORE,2025-01-15 10:28:00,2025-01-15 08:30:00,1.9666666666666663,13.733333333333333,1.1031479741019203,1.6166666666666667,26.22,24.25,25.87,13.73
9V5293,CONTAINER,PACIFIC INTERNATIONAL LINES (HK) LTD,SINGAPORE,2025-01-15 11:19:00,2025-01-15 09:00:00,2.316666666666667,27.183333333333337,1.1031479741019203,1.7166666666666663,27.07,24.75,26.47,27.18
V7A4532,CONTAINER,OCEANLINKS MARINE LIMITED,"XIAMEN, FJ",2025-01-15 10:17:00,2025-01-15 09:00:00,1.2833333333333334,7.733333333333333,1.288969844161101,1.1,26.03,24.75,25.85,7.73
V7A6349,CONTAINER,T.S. LINES LIMITED,"SHANGHAI, SH",2025-01-15 13:25:00,2025-01-15 10:00:00,3.4166666666666665,8.483333333333333,1.1873879992700667,1.2666666666666666,29.17,25.75,27.02,8.48
