ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
3E7666,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,DAVAO,2025-02-08 01:08:00,2025-02-08 00:00:00,1.1333333333333333,11.816666666666666,1.9488408233265542,1.6840245982583713,1.13,0.0,1.68,11.82
VRBH9,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"NINGBO, ZJ",2025-02-08 07:44:00,2025-02-08 03:00:00,4.733333333333333,9.216666666666669,1.0844090873225758,1.9374571015280622,7.73,3.0,4.94,9.22
3E2534,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,"NINGBO, ZJ",2025-02-08 03:32:00,2025-02-08 03:00:00,0.5333333333333333,9.616666666666667,1.0844090873225758,0.8879356592703924,3.53,3.0,3.89,9.62
3E4724,CONTAINER,SINOKOR HONGKONG CO LIMITED,SAIGON,2025-02-08 10:21:00,2025-02-08 09:00:00,1.35,15.2,1.797777777777778,2.7333333333333334,10.35,9.0,11.73,15.2
5BMT6,CONTAINER,OOCL HONG KONG BRANCH,LAEM CHABANG,2025-02-08 11:33:00,2025-02-08 10:00:00,1.55,6.5,1.664768781989335,2.199502487562189,11.55,10.0,12.2,6.5
V7A7425,CONTAINER,T.S. LINES LIMITED,"SHEKOU, SHENZHEN",2025-02-08 14:35:00,2025-02-08 12:30:00,2.0833333333333335,9.316666666666666,3.5725166022488084,1.6166666666666667,14.58,12.5,14.12,9.32
H3YW,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,"XIAMEN, FJ",2025-02-08 14:26:00,2025-02-08 13:00:00,1.4333333333333331,11.983333333333333,1.2446190732879645,1.3666666666666667,14.43,13.0,14.37,11.98
9V9129,CONTAINER,HYALINE SHIPPING (HK) CO LTD,TAIPEI,2025-02-08 15:36:00,2025-02-08 13:00:00,2.6,10.616666666666667,1.4385416666666666,2.216666666666667,15.6,13.0,15.22,10.62
D5ML2,CONTAINER,KMTC (HK) CO LIMITED,PUSAN,2025-02-08 16:35:00,2025-02-08 14:30:00,2.0833333333333335,8.833333333333334,1.1208140095395591,1.358043096756775,16.58,14.5,15.86,8.83
5LCL3,CONTAINER,MEDITERRANEAN SHIPPING COMPANY (HONG KONG) LIMITED,"SHEKOU, SHENZHEN",2025-02-08 15:18:00,2025-02-08 15:00:00,0.3,18.15,3.5725166022488084,0.6169433806614312,15.3,15.0,15.62,18.15
VRRW8,CONTAINER,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED,KAOHSIUNG,2025-02-08 19:33:00,2025-02-08 19:00:00,0.55,17.45,1.3568963468218915,0.7720897183888504,19.55,19.0,19.77,17.45
OYLZ2,CONTAINER,SINOTRANS (HK) SHIPPING LTD,DANANG,2025-02-08 22:10:00,2025-02-08 21:00:00,1.1666666666666667,8.9,1.8031084656084655,1.8571428571428572,22.17,21.0,22.86,8.9
VRWE8,CONTAINER,OOCL HONG KONG BRANCH,QINGDAO,2025-02-09 00:13:00,2025-02-08 23:00:00,1.2166666666666666,11.6,0.7635135135135135,1.3833333333333333,24.22,23.0,24.38,11.6
