ARRIVED_CALL_SIGN,ARRIVED_SHIP_TYPE,ARRIVED_AGENT_NAME,DUE_LAST_PORT,ARRIVED_ARRIVAL_TIME,DUE_ETA,ARRIVAL_DELAY,DEPARTED_SERVICE_TIME,sigma,pred_delay,ATA,ETA,PTA,s
VRNR6,CONTAINER,OOCL HONG KONG BRANCH,PORT KLANG,2025-06-05 03:56:00,2025-06-05 01:00:00,2.933333333333333,17.25,0.19444444444444442,0.95,16.48,13.55,14.5,17.25
V7A6455,CONTAINER,T.S. LINES LIMITED,KARACHI,2025-06-04 18:35:00,2025-06-05 01:30:00,-6.916666666666667,12.866666666666667,0.08666666666666663,0.75,7.13,14.05,14.8,12.87
3E5997,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,KEELUNG,2025-06-05 09:07:00,2025-06-05 07:00:00,2.1166666666666667,17.133333333333333,0.4583333333333333,3.783333333333333,21.67,19.55,23.33,17.13
BLIH,CONTAINER,YANG MING LINE (HONG KONG) LTD,KAOHSIUNG,2025-06-05 07:22:00,2025-06-05 08:00:00,-0.6333333333333333,9.016666666666667,0.3574074074074074,1.4166666666666667,19.92,20.55,21.97,9.02
3E2534,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,DANANG,2025-06-05 09:41:00,2025-06-05 08:30:00,1.1833333333333331,10.283333333333331,9.847222222222223,0.0,22.23,21.05,21.05,10.28
V7VS6,CONTAINER,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED,OPEN SEA,2025-06-04 11:27:00,2025-06-05 10:00:00,-22.55,9.466666666666669,18.933333333333337,0.0,0.0,22.55,22.55,9.47
3ELX9,CONTAINER,KMTC (HK) CO LIMITED,"SHEKOU, SHENZHEN",2025-06-04 11:33:00,2025-06-05 10:30:00,-22.95,9.466666666666669,0.1547619047619047,1.2333333333333334,0.1,23.05,24.28,9.47
DSOF3,CONTAINER,KMTC (HK) CO LIMITED,SAIGON,2025-06-05 12:44:00,2025-06-05 11:00:00,1.7333333333333334,17.266666666666666,4.205,1.75,25.28,23.55,25.3,17.27
VRUB8,CONTAINER,EVERGREEN MARINE (HONG KONG) LTD,KAOHSIUNG,2025-06-05 12:05:00,2025-06-05 11:00:00,1.0833333333333333,13.883333333333333,6.966666666666666,0.3999999999999999,24.63,23.55,23.95,13.88
VRJS2,CONTAINER,OOCL HONG KONG BRANCH,OPEN SEA,2025-06-04 15:02:00,2025-06-05 13:00:00,-21.966666666666665,15.383333333333333,7.109523809523809,0.44999999999999996,3.58,25.55,26.0,15.38
3E3895,CONTAINER,LEGO CONSOLIDATOR & WAREHOUSE COMPANY LIMITED,"NANSHA, PANYU",2025-06-05 13:31:00,2025-06-05 13:00:00,0.5166666666666667,2.3,0.7055555555555556,0.0,26.07,25.55,25.55,2.3
